	sample	Time	Bin	Dataset	Complete	Single	Duplicated	Fragmented	Missing	n_markers	Scaffold N50	Contigs N50	Percent gaps	Number of scaffolds	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Additional_Notes	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	"other_related_references(genome_id,species_name,radius,ANI,AF)"	msa_percent	translation_table	red_value	warnings	n_genes_called	n_genes_mapped	n_contigs	taxonomic_level	proportion_genes_retained_in_major_clades	genes_retained_index	clade_separation_score	contamination_portion	n_effective_surplus_clades	mean_hit_identity	reference_representation_score	pass.GUNC	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N90	auN	L50	L90	# N's per 100 kbp
58	Rice straw	1	FBaNitRs1_37	bacteria_odb10	69.3	67.7	1.6	16.1	14.6	124	5036	5036	0.00%	1067	82.92	1.89	Neural Network (Specific Model)	11	0.938	5036	271.3396765	4544988	0.68	5255	None	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium kyogaense	GCF_003254575.1	95	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium kyogaense	96.46	0.847							ani_screen	classification based on ANI only	"GCF_002086815.1, s__Mycobacterium parafortuitum, 95.0, 84.0, 0.152; GCF_010729305.1, s__Mycobacterium psychrotolerans, 95.0, 86.0, 0.325; GCF_001044235.1, s__Mycobacterium chlorophenolicum, 95.0, 86.6, 0.369; GCF_022374875.2, s__Mycobacterium rufum, 95.0, 86.05, 0.345; GCA_023404955.1, s__Mycobacterium sp023404955, 95.0, 89.67, 0.63; GCF_010725485.1, s__Mycobacterium sp002946335, 95.0, 84.05, 0.152; GCF_000266905.1, s__Mycobacterium chubuense_A, 95.0, 84.35, 0.173; GCF_001044255.1, s__Mycobacterium chubuense, 95.53, 86.27, 0.349; GCF_022348085.1, s__Mycobacterium sp022348085, 95.0, 89.46, 0.601; GCF_007096635.1, s__Mycobacterium sp007096635, 95.0, 88.67, 0.546"					5247	5192	1065	genus	0.98	0.97	0.38	0.04	0.08	0.97	0.94	TRUE	1067	1067	277	53	1	0	4544988	4544988	2285242	745312	40329	0	1067	40329	4544988	68.22	5036	2208	6576.1	275	822	0
59	Rice straw	1	FBaNitRs1_38	bacteria_odb10	79.8	76.6	3.2	6.5	13.7	124	7902	7902	0.00%	1118	95.45	4.64	Neural Network (Specific Model)	11	0.87	7902	299.3593522	6363134	0.74	6175	None	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__Nocardiopsis;s__Nocardiopsis flavescens	GCF_900141985.1	95	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__Nocardiopsis;s__Nocardiopsis flavescens	98.63	0.904							ani_screen	classification based on ANI only	"GCF_000341265.1, s__Nocardiopsis prasina, 95.0, 84.13, 0.186; GCF_001905145.1, s__Nocardiopsis sp001905145, 95.0, 85.36, 0.222; GCF_014203695.1, s__Nocardiopsis algeriensis, 95.0, 85.01, 0.274; GCA_002529455.1, s__Nocardiopsis fusca, 95.0, 85.46, 0.225; GCA_000340945.1, s__Nocardiopsis synnemataformans, 95.0, 85.5, 0.22; GCF_003386285.1, s__Nocardiopsis sp003386285, 95.0, 84.03, 0.174; GCF_024134545.1, s__Nocardiopsis exhalans, 95.08, 84.44, 0.165; GCF_001279585.1, s__Nocardiopsis sp001279585, 95.0, 84.36, 0.168; GCF_018316655.1, s__Nocardiopsis changdeensis, 95.0, 90.68, 0.592; GCF_012396365.1, s__Nocardiopsis alborubida, 95.0, 85.35, 0.226; GCF_000341065.1, s__Nocardiopsis halotolerans, 95.0, 84.5, 0.179; GCF_008638415.1, s__Nocardiopsis sinuspersici, 95.0, 84.91, 0.214; GCF_026642255.1, s__Nocardiopsis nanhaiensis_A, 95.0, 85.06, 0.228; GCF_013410755.1, s__Nocardiopsis aegyptia, 95.0, 84.37, 0.178; GCF_003634495.1, s__Nocardiopsis sp003634495, 95.0, 84.19, 0.175; GCF_900143625.1, s__Nocardiopsis sp900143625, 95.0, 83.68, 0.157; GCF_020741345.1, s__Nocardiopsis listeri_A, 95.0, 82.91, 0.155; GCF_028882275.1, s__Nocardiopsis sp028882275, 95.0, 88.48, 0.448; GCF_000515115.1, s__Nocardiopsis sp000515115, 95.0, 82.93, 0.173; GCF_030766825.1, s__Nocardiopsis sp030766825, 95.0, 90.54, 0.538; GCF_030555055.1, s__Nocardiopsis sp030555055, 95.0, 84.19, 0.174; GCF_000092985.1, s__Nocardiopsis dassonvillei, 95.0, 85.43, 0.229; GCF_030271535.1, s__Nocardiopsis sp030271535, 95.0, 83.16, 0.165; GCF_001942255.1, s__Nocardiopsis sp001942255, 95.0, 83.48, 0.159; GCF_018207095.1, s__Nocardiopsis sp018207095, 95.0, 83.56, 0.157; GCF_009830945.1, s__Nocardiopsis sp009830945, 95.0, 85.36, 0.228; GCF_000341225.1, s__Nocardiopsis alba, 95.0, 83.87, 0.179; GCF_001570765.1, s__Nocardiopsis listeri, 95.0, 83.15, 0.164; GCF_008638365.1, s__Nocardiopsis quinghaiensis, 95.0, 84.8, 0.225; GCF_014651695.1, s__Nocardiopsis terrae, 95.0, 84.38, 0.18; GCF_000341085.1, s__Nocardiopsis ganjiahuensis, 95.0, 84.72, 0.192; GCA_018388625.1, s__Nocardiopsis eucommiae, 95.0, 84.42, 0.177; GCF_014201115.1, s__Nocardiopsis metallicus, 95.0, 84.63, 0.167"					6194	6123	1118	kingdom	1	0.99	0	0	0	0.96	0.95	TRUE	1118	1118	417	158	16	0	6363134	6363134	4376553	2554087	474840	0	1118	35048	6363134	74.31	7902	2505	10410.7	229	794	0
60	Rice straw	1	FBaNitRs1_39	bacteria_odb10	65.3	63.7	1.6	14.5	20.2	124	3474	3474	0.00%	1669	86	6.71	Gradient Boost (General Model)	11	0.916	3474	270.5208545	5215502	0.69	5898	None	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__;s__											d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree		62.46	11	0.84522		5900	5483	1666	class	0.95	0.88	0.3	0.19	0.49	0.65	0.58	TRUE	1669	1669	207	10	0	0	5215502	5215502	1415181	118436	0	0	1669	14429	5215502	69.46	3475	1790	4096.5	497	1350	0
61	Rice straw	1	FBaNitRs1_42	bacteria_odb10	68.5	67.7	0.8	6.5	25	124	4615	4615	0.00%	1032	76.25	0.89	Neural Network (Specific Model)	11	0.91	4615	274.6117594	4026852	0.67	4456	None	d__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;f__Fimbriimonadaceae;g__Fimbriimonas;s__											d__Bacteria;p__Armatimonadota;c__Fimbriimonadia;o__Fimbriimonadales;f__Fimbriimonadaceae;g__Fimbriimonas;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree		65.94	11	0.88951		4412	3589	1024	class	0.8	0.65	0.1	0.45	1.52	0.57	0.37	TRUE	1032	1032	248	24	0	0	4026852	4026852	1786396	318185	0	0	1032	20806	4026852	67.21	4615	2136	5346.8	296	809	0
62	Rice straw	1	FBaNitRs1_43	bacteria_odb10	71.8	71	0.8	12.1	16.1	124	7061	7061	0.00%	654	89.23	3.56	Neural Network (Specific Model)	11	0.924	7061	270.7152095	3389922	0.71	3866	None	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Nocardioidaceae;g__Aeromicrobium;s__											d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Nocardioidaceae;g__Aeromicrobium;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree		71.2	11	0.95194		3854	3675	653	family	0.84	0.8	0.27	0.12	0.27	0.73	0.58	TRUE	654	654	241	73	3	0	3389922	3389922	2238356	1059260	96427	0	654	39470	3389922	70.76	7061	2448	8715.5	150	477	0
63	Rice straw	1	FBaNitRs1_44	bacteria_odb10	91.1	90.3	0.8	4	4.9	124	15162	15162	0.00%	380	95.41	0.72	Gradient Boost (General Model)	11	0.923	15162	312.2114141	3602427	0.66	3557	None	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Beutenbergiaceae;g__CALKWS01;s__											d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Beutenbergiaceae;g__CALKWS01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree		91.58	11	0.91656		3548	3343	380	family	0.82	0.77	0.19	0.55	3.24	0.64	0.49	TRUE	380	380	216	119	25	5	3602427	3602427	3114696	2420816	953849	292262	380	78028	3602427	65.67	15162	4101	20000.6	69	245	0
64	Rice straw	1	FBaNitRs1_5	bacteria_odb10	79.8	79	0.8	4	16.2	124	36662	36662	0.00%	252	91.19	0.39	Gradient Boost (General Model)	11	0.822	36662	360.4651649	5656974	0.61	4306	None	d__Bacteria;p__Bacteroidota;c__Kapaibacteriia;o__OLB7;f__OLB7;g__JAFDZV01;s__											d__Bacteria;p__Bacteroidota;c__Kapaibacteriia;o__OLB7;f__OLB7;g__JAFDZV01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree		83.95	11	0.88661		4338	3594	252	class	0.73	0.61	0.13	0.4	1.62	0.56	0.34	TRUE	252	252	202	166	77	28	5656974	5656974	5541675	5267059	3741114	2006117	252	146526	5656974	60.84	36662	11466	43909.6	47	150	0
65	Rice straw	1	FBaNitRs1_7	bacteria_odb10	41.1	37.1	4	22.6	36.3	124	1582	1582	0.00%	1986	53.86	4.51	Gradient Boost (General Model)	11	0.897	1582	225.5752675	3163974	0.6	4205	None	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Kallotenuaceae;g__JACDGP01;s__											d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Kallotenuaceae;g__JACDGP01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree		36.48	11	0.84576	Genome has more than 10.8% of markers with multiple hits	4145	3607	1947	genus	0.49	0.42	0.47	0.4	1.54	0.6	0.26	FALSE	1986	1986	5	0	0	0	3163974	3163974	27748	0	0	0	1986	6141	3163974	60.17	1582	1082	1850.7	705	1682	0
66	Rice straw	1	FBaNitRs1_9	bacteria_odb10	67.7	67.7	0	9.7	22.6	124	7122	7122	0.00%	457	81.5	1.57	Neural Network (Specific Model)	11	0.922	7122	288.4093589	2543032	0.4	2714	None	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__											d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree		73.92	11	0.97069		2707	2590	457	kingdom	1	0.96	0	0	0	0.73	0.7	TRUE	457	457	173	61	2	0	2543032	2543032	1671341	888925	53017	0	457	27125	2543032	40.34	7122	2668	8878.8	106	338	0
67	Rice straw	1	FBaRs1_12	bacteria_odb10	85.5	83.1	2.4	7.3	7.2	124	4890	4890	0.00%	797	92.13	1.96	Gradient Boost (General Model)	11	0.88	4890	273.8690546	3173049	0.71	3406	None	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Dermatophilaceae;g__Marihabitans;s__Marihabitans melonis	GCF_020567375.1	95	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Dermatophilaceae;g__Marihabitans;s__Marihabitans melonis	97.69	0.82							ani_screen	classification based on ANI only	"GCF_016888335.1, s__Marihabitans endophyticum, 95.0, 85.82, 0.24"					3628	3307	715	phylum	0.98	0.9	0.95	0.03	0.07	0.93	0.83	FALSE	797	797	177	45	1	0	3173049	3173049	1544241	649977	28467	0	797	28467	3173049	71.08	4890	1911	6693.1	186	610	0
68	Rice straw	1	FBaRs1_15	bacteria_odb10	66.1	64.5	1.6	7.3	26.6	124	17777	17777	0.00%	470	88.21	5.18	Neural Network (Specific Model)	11	0.896	17777	294.8688458	4884645	0.63	4956	None	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Neorhizobium;s__											d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Neorhizobium;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	"GCF_030323265.1, s__Neorhizobium sp030323265, 95.0, 83.09, 0.257; GCF_900111905.1, s__Neorhizobium sp900111905, 95.0, 83.07, 0.252; GCA_900469445.1, s__Neorhizobium sp900469445, 95.0, 82.65, 0.209; GCF_006335145.1, s__Neorhizobium smilacinae, 95.0, 82.31, 0.189; GCF_019511445.1, s__Neorhizobium wenxiniae_A, 95.0, 82.21, 0.185; GCA_003597675.1, s__Neorhizobium sp003597675, 95.0, 82.08, 0.171; GCA_900466875.1, s__Neorhizobium sp900466875, 95.0, 81.97, 0.201; GCA_002500765.1, s__Neorhizobium sp002500765, 95.0, 81.89, 0.17; GCA_900472575.1, s__Neorhizobium cellulosilyticum, 95.0, 81.83, 0.184; GCA_023451735.1, s__Neorhizobium sp023451735, 95.0, 81.78, 0.167; GCA_002376235.1, s__Neorhizobium sp002376235, 95.0, 81.77, 0.17; GCF_014201355.1, s__Neorhizobium wenxiniae, 95.0, 81.55, 0.177"	69.61	11	0.99027		4975	4889	470	family	0.92	0.91	0.41	0.02	0.05	0.83	0.75	TRUE	470	470	266	150	45	8	4884645	4884645	4265430	3402760	1795478	536470	470	91887	4884645	62.94	17777	4312	24171.2	76	295	0
69	Rice straw	1	FBaRs1_17	bacteria_odb10	57.2	54	3.2	13.7	29.1	124	2435	2435	0.00%	1663	62.68	6.09	Gradient Boost (General Model)	11	0.915	2435	234.8523159	4046278	0.74	5268	None	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Pseudonocardiaceae;g__Actinomycetospora;s__Actinomycetospora corticicola	GCF_013409505.1	95	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Pseudonocardiaceae;g__Actinomycetospora;s__Actinomycetospora corticicola	95.32	0.682							ani_screen	classification based on ANI only	"GCF_030286555.1, s__Actinomycetospora sp030286555, 95.0, 89.59, 0.251; GCF_030269685.1, s__Actinomycetospora sp030269685, 95.0, 90.45, 0.392; GCF_000379625.1, s__Actinomycetospora chiangmaiensis, 95.0, 90.22, 0.375; GCF_021026295.1, s__Actinomycetospora soli, 95.0, 90.3, 0.407"					5239	5033	1662	family	0.88	0.85	0.91	0.08	0.19	0.85	0.72	FALSE	1663	1663	42	3	0	0	4046278	4046278	271876	38974	0	0	1663	15749	4046278	74.32	2435	1654	2889	587	1406	0
70	Rice straw	1	FBaRs1_18	bacteria_odb10	87.9	87.9	0	9.7	2.4	124	24212	24212	0.00%	391	99.22	1.54	Neural Network (Specific Model)	11	0.873	24212	305.2878731	5617595	0.65	5360	None	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Rhodopseudomonas;s__						GCF_001295845.1	95	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Rhodopseudomonas;s__Rhodopseudomonas sp001295845	90.84	0.757	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Rhodopseudomonas;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	"GCF_003591005.1, s__Rhodopseudomonas palustris_K, 95.0, 88.66, 0.575; GCF_022271405.1, s__Rhodopseudomonas infernalis, 95.0, 88.54, 0.602; GCA_016215605.1, s__Rhodopseudomonas palustris_L, 95.0, 87.26, 0.523; GCF_000013365.1, s__Rhodopseudomonas palustris_J, 95.0, 86.23, 0.468; GCF_000333455.1, s__Rhodopseudomonas sp000333455, 95.0, 85.51, 0.296; GCF_003226555.1, s__Rhodopseudomonas palustris_I, 95.0, 85.07, 0.359; GCF_007005445.1, s__Rhodopseudomonas palustris_G, 95.0, 85.0, 0.392; GCF_900218015.1, s__Rhodopseudomonas pentothenatexigens, 95.0, 85.0, 0.38; GCF_010907035.1, s__Rhodopseudomonas sp010907035, 95.0, 84.89, 0.382; GCF_003031265.1, s__Rhodopseudomonas palustris_H, 95.0, 84.86, 0.4; GCF_013415845.1, s__Rhodopseudomonas palustris_F, 95.0, 84.79, 0.375; GCF_900110435.1, s__Rhodopseudomonas pseudopalustris, 95.0, 84.77, 0.373"	92.31	11	0.99719	Genome not assigned to closest species as it falls outside its pre-defined ANI radius	5371	5256	391	genus	0.94	0.92	0.29	0.03	0.05	0.92	0.85	TRUE	391	391	284	182	72	10	5617595	5617595	5270305	4516926	2723033	632161	391	73986	5617595	65.38	24212	6511	26947.4	76	247	0
71	Rice straw	1	FBaRs1_19	bacteria_odb10	45.9	41.9	4	15.3	38.8	124	2897	2897	0.00%	784	67.36	4.47	Gradient Boost (General Model)	11	0.89	2897	237.1197364	2178613	0.62	2731	None	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium_C;s__						GCA_019751875.1	95	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium_C;s__Hyphomicrobium_C sp019751875	87.44	0.281	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium_C;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree		47.19	11	0.98738		2707	2518	784	family	0.84	0.78	0.47	0.2	0.53	0.69	0.53	FALSE	784	784	51	3	0	0	2178613	2178613	321515	33328	0	0	784	11794	2178613	62.3	2897	1743	3390.8	259	650	0
72	Rice straw	1	FBaRs1_2	bacteria_odb10	76.6	68.5	8.1	10.5	12.9	124	8731	8731	0.00%	717	89.64	9.36	Neural Network (Specific Model)	11	0.91	8731	301.368347	4228191	0.73	4265	None	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Dermabacteraceae;g__Brachybacterium;s__						GCF_027921985.1	95	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Dermabacteraceae;g__Brachybacterium;s__Brachybacterium conglomeratum	88.96	0.544	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Dermabacteraceae;g__Brachybacterium;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	"GCA_019119915.1, s__Brachybacterium intestinipullorum, 95.0, 87.81, 0.477; GCA_027322375.1, s__Brachybacterium sp027322375, 95.0, 86.25, 0.241; GCF_014204755.1, s__Brachybacterium aquaticum, 95.0, 85.81, 0.309; GCA_012799425.1, s__Brachybacterium sp012799425, 95.0, 85.18, 0.175; GCF_003355475.1, s__Brachybacterium saurashtrense, 95.0, 84.95, 0.289; GCF_002407065.1, s__Brachybacterium ginsengisoli, 95.0, 84.72, 0.272; GCF_000023405.1, s__Brachybacterium faecium, 95.0, 84.69, 0.269; GCF_900184245.1, s__Brachybacterium massiliense, 95.0, 84.36, 0.25; GCF_003347015.1, s__Brachybacterium sp003347015, 95.0, 84.03, 0.214; GCA_030457675.1, s__Brachybacterium sp030457675, 95.0, 84.03, 0.2; GCF_002216795.1, s__Brachybacterium avium, 95.0, 84.0, 0.21; GCA_030451965.1, s__Brachybacterium sp030451965, 95.0, 83.85, 0.183; GCF_014400405.1, s__Brachybacterium sp014400405, 95.0, 83.73, 0.231; GCF_002407185.1, s__Brachybacterium vulturis, 95.0, 83.73, 0.209; GCF_947500705.1, s__Brachybacterium sp947500705, 95.0, 83.26, 0.195; GCF_017876515.1, s__Brachybacterium fresconis, 95.0, 82.98, 0.159; GCF_001969445.1, s__Brachybacterium sp001969445, 95.0, 82.8, 0.158; GCF_017876545.1, s__Brachybacterium sacelli, 95.0, 82.77, 0.166; GCF_000225825.1, s__Brachybacterium squillarum, 95.0, 82.73, 0.15; GCF_005490785.1, s__Brachybacterium sp005490785, 95.0, 82.57, 0.151"	59.76	11	0.98818	Genome not assigned to closest species as it falls outside its pre-defined ANI radius;Genome has more than 19.2% of markers with multiple hits	4277	4191	717	order	0.95	0.93	0.54	0.03	0.06	0.84	0.78	FALSE	717	717	300	120	4	0	4228191	4228191	3096131	1773430	106926	0	717	28150	4228191	72.76	8731	2848	9947	157	480	0
73	Rice straw	1	FBaRs1_20	bacteria_odb10	81.4	79.8	1.6	11.3	7.3	124	6083	6083	0.00%	868	74.85	1.9	Neural Network (Specific Model)	11	0.896	6083	293.0506532	4277585	0.43	4363	None	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomataceae;g__Dyadobacter;s__						GCF_003383615.1	95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomataceae;g__Dyadobacter;s__Dyadobacter luteus	87.01	0.455	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomataceae;g__Dyadobacter;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree		81.03	11	0.99717		4304	4116	867	family	0.98	0.93	0.52	0.09	0.2	0.75	0.7	FALSE	868	868	260	78	8	0	4277585	4277585	2520385	1251860	252602	0	868	45202	4277585	43.21	6083	2375	8987.7	192	651	0
74	Rice straw	1	FBaRs1_21	bacteria_odb10	65.3	65.3	0	10.5	24.2	124	7326	7326	0.00%	450	81.51	2.84	Neural Network (Specific Model)	11	0.91	7326	279.5525349	2504601	0.38	2722	None	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__											d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree		68.84	11	0.93864		2719	2573	450	family	0.95	0.9	0.56	0.03	0.05	0.74	0.67	FALSE	450	450	161	47	8	0	2504601	2504601	1651743	850718	274032	0	450	41584	2504601	37.52	7326	2662	10973.6	94	328	0
75	Rice straw	1	FBaRs1_25	bacteria_odb10	76.6	72.6	4	12.9	10.5	124	4370	4370	0.00%	797	84.47	4.26	Gradient Boost (General Model)	11	0.93	4370	265.7216647	2898238	0.7	3388	None	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__;s__											d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Propionibacteriaceae;g__;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree		71.78	11	0.88805		3377	3170	795	order	0.89	0.83	0.24	0.27	0.69	0.66	0.55	TRUE	797	797	144	32	0	0	2898238	2898238	1209224	417077	0	0	797	19092	2898238	70.2	4370	1836	5665.3	196	622	0
76	Rice straw	1	FBaRs1_28	bacteria_odb10	61.3	61.3	0	11.3	27.4	124	8771	8771	0.00%	523	81.59	3.92	Neural Network (Specific Model)	11	0.916	8771	286.0866426	3367321	0.66	3601	None	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas sp943913195	GCF_943913195.1	95	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas sp943913195	98.6	0.833							ani_screen	classification based on ANI only	"GCF_014217605.1, s__Sphingomonas sp014217605, 95.0, 83.3, 0.193; GCF_002197685.1, s__Sphingomonas dokdonensis, 95.0, 83.92, 0.183; GCF_002117915.1, s__Sphingomonas sp002117915, 95.0, 83.1, 0.196; GCF_000980895.1, s__Sphingomonas olei, 95.0, 85.01, 0.235"					3616	3531	523	order	0.96	0.94	0.43	0.02	0.05	0.82	0.77	TRUE	523	523	232	91	8	1	3367321	3367321	2524010	1519835	299110	56836	523	56836	3367321	66.33	8771	2973	12347.6	109	365	0
77	Rice straw	1	FBaRs1_29	bacteria_odb10	93.5	91.1	2.4	3.2	3.3	124	44111	44111	0.00%	173	95.83	1.72	Neural Network (Specific Model)	11	0.921	44111	351.2520986	4217182	0.42	3693	None	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__Sphingobacterium corticibacterium	GCF_004208525.1	95	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Sphingobacterium;s__Sphingobacterium corticibacterium	98.23	0.874							ani_screen	classification based on ANI only	"GCF_008180195.1, s__Sphingobacterium phlebotomi, 95.0, 84.31, 0.387; GCF_011043555.1, s__Sphingobacterium sp011043555, 95.0, 83.63, 0.312; GCF_014692515.1, s__Sphingobacterium micropteri, 95.0, 92.78, 0.719"					3669	3514	173	genus	0.83	0.79	0.23	0.1	0.22	0.76	0.6	TRUE	173	173	147	101	56	24	4217182	4217182	4126499	3777802	3013909	1896120	173	124896	4217182	41.72	44111	9934	51258.7	29	103	0
78	Rice straw	1	FBaRs1_31	bacteria_odb10	83.9	81.5	2.4	8.1	8	124	11124	11124	0.00%	348	92	3.28	Gradient Boost (General Model)	11	0.92	11124	290.1458476	2750906	0.68	2914	None	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas_I;s__						GCF_934560975.1	95	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas_I;s__Sphingomonas_I sp934560975	82.18	0.169	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas_I;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree		83.4	11	0.97029		2939	2827	348	order	0.95	0.92	0.34	0.06	0.13	0.71	0.65	TRUE	348	348	196	89	10	0	2750906	2750906	2310320	1534003	352892	0	348	46278	2750906	67.85	11124	3963	14218.2	74	234	0
